,item
360,citrus fruit
361,pastry
362,frankfurter
363,tropical fruit
364,frankfurter
365,berries
366,rolls/buns
367,root vegetables
368,yogurt
369,other vegetables
370,berries
371,berries
372,other vegetables
373,rolls/buns
374,ham
375,whole milk
376,tropical fruit
377,bottled water
378,butter milk
379,newspapers
380,coffee
381,bottled beer
382,onions
383,hamburger meat
384,sausage
385,hard cheese
386,sausage
387,hamburger meat
388,onions
389,coffee
390,shopping bags
391,yogurt
392,soda
393,sliced cheese
394,sausage
395,yogurt
396,domestic eggs
397,whole milk
398,meat
399,dish cleaner
400,other vegetables
401,whole milk
402,other vegetables
403,tropical fruit
404,baking powder
405,specialty bar
406,ice cream
407,frankfurter
408,canned beer
409,bottled water
410,other vegetables
411,citrus fruit
412,sausage
413,domestic eggs
414,pork
415,specialty cheese
416,pork
417,beef
418,other vegetables
419,chicken
420,soda
421,whole milk
422,rolls/buns
423,bottled beer
424,root vegetables
425,pastry
426,berries
427,citrus fruit
428,whole milk
429,soda
430,bottled water
431,tropical fruit
432,salty snack
433,bottled water
434,chocolate
435,citrus fruit
436,bottled water
437,onions
438,dessert
439,beef
440,rolls/buns
441,beef
442,soda
443,coffee
444,rolls/buns
445,pork
446,soda
447,sausage
448,beef
449,whole milk
450,pork
451,berries
452,sausage
453,bottled water
454,tropical fruit
455,herbs
456,yogurt
457,Instant food products
458,specialty chocolate
459,coffee
460,bottled beer
461,beef
462,whole milk
463,frankfurter
464,frankfurter
465,other vegetables
466,frankfurter
467,whole milk
468,frankfurter
469,other vegetables
470,bottled water
471,pork
472,bottled water
473,other vegetables
474,hamburger meat
475,hamburger meat
476,shopping bags
477,whole milk
478,ice cream
479,pastry
480,ham
481,frankfurter
482,sausage
483,bottled beer
484,bottled water
485,meat
486,dessert
487,other vegetables
488,beverages
489,ham
490,specialty bar
491,brown bread
492,whole milk
493,rolls/buns
494,bottled beer
495,pet care
496,citrus fruit
497,pork
498,other vegetables
499,white wine
500,whole milk
501,pip fruit
502,sugar
503,tropical fruit
504,root vegetables
505,soda
506,whole milk
507,tropical fruit
508,white bread
509,brown bread
510,tropical fruit
511,domestic eggs
512,coffee
513,soda
514,whole milk
515,bottled beer
516,pork
517,other vegetables
518,yogurt
519,sparkling wine
520,bottled water
521,citrus fruit
522,hamburger meat
523,packaged fruit/vegetables
524,other vegetables
525,soda
526,whole milk
527,herbs
528,citrus fruit
529,misc. beverages
530,female sanitary products
531,soda
532,tropical fruit
533,soda
534,white bread
535,coffee
536,tropical fruit
537,pork
538,citrus fruit
539,frankfurter
540,frankfurter
541,frankfurter
542,other vegetables
543,yogurt
544,sausage
545,whole milk
546,pip fruit
547,whole milk
548,root vegetables
549,onions
550,specialty chocolate
551,hamburger meat
552,photo/film
553,rolls/buns
554,canned beer
555,canned beer
556,other vegetables
557,canned beer
558,curd
559,butter
560,other vegetables
561,whole milk
562,beef
563,sausage
564,soda
565,fruit/vegetable juice
566,rolls/buns
567,pip fruit
568,frozen vegetables
569,beverages
570,hamburger meat
571,root vegetables
572,canned beer
573,frozen vegetables
574,canned beer
575,newspapers
576,rolls/buns
577,hamburger meat
578,pip fruit
579,canned beer
580,grapes
581,root vegetables
582,citrus fruit
583,cling film/bags
584,frankfurter
585,whole milk
586,pork
587,chicken
588,sausage
589,specialty bar
590,whipped/sour cream
591,root vegetables
592,rolls/buns
593,other vegetables
594,citrus fruit
595,whole milk
596,frankfurter
597,coffee
598,ham
599,canned beer
600,canned beer
601,canned beer
602,pip fruit
603,pork
604,soap
605,pip fruit
606,beef
607,sausage
608,frozen chicken
609,soda
610,tropical fruit
611,other vegetables
612,beef
613,meat
614,meat
615,bottled water
616,rolls/buns
617,pastry
618,pork
619,pip fruit
620,beef
621,beef
622,rolls/buns
623,citrus fruit
624,meat
625,beverages
626,beef
627,ham
628,hamburger meat
629,beef
630,beef
631,root vegetables
632,citrus fruit
633,yogurt
634,tropical fruit
635,frankfurter
636,beef
637,shopping bags
638,canned beer
639,rolls/buns
640,other vegetables
641,hamburger meat
642,hamburger meat
643,frankfurter
644,bottled beer
645,tropical fruit
646,soda
647,frankfurter
648,chicken
649,coffee
650,whole milk
651,margarine
652,tropical fruit
653,meat
654,cream cheese 
655,newspapers
656,rolls/buns
657,citrus fruit
658,whole milk
659,frankfurter
660,ham
661,frankfurter
662,sausage
663,domestic eggs
664,whole milk
665,rolls/buns
666,whole milk
667,sausage
668,curd
669,bottled water
670,beef
671,frankfurter
672,chicken
673,sausage
674,pork
675,yogurt
676,whole milk
677,frankfurter
678,beef
679,pip fruit
680,sausage
681,pastry
682,chicken
683,root vegetables
684,whole milk
685,detergent
686,rolls/buns
687,house keeping products
688,yogurt
689,tropical fruit
690,tropical fruit
691,curd
692,beef
693,whole milk
694,pork
695,other vegetables
696,rolls/buns
697,frankfurter
698,yogurt
699,whole milk
700,bottled water
701,frankfurter
702,rolls/buns
703,whole milk
704,rolls/buns
705,chicken
706,tropical fruit
707,sausage
708,sausage
709,frankfurter
710,UHT-milk
711,rolls/buns
712,canned beer
713,yogurt
714,whipped/sour cream
715,rolls/buns
716,rolls/buns
717,beverages
718,rolls/buns
719,rolls/buns
720,bottled beer
721,citrus fruit
722,bottled water
723,pastry
724,domestic eggs
725,beef
726,spread cheese
727,tropical fruit
728,packaged fruit/vegetables
729,whole milk
730,meat
731,onions
732,frankfurter
733,beef
734,beef
735,sausage
736,chicken
737,canned beer
738,sausage
739,tropical fruit
740,frankfurter
741,sausage
742,beef
743,tropical fruit
744,yogurt
745,frankfurter
746,bottled beer
747,grapes
748,beverages
749,curd
750,ice cream
751,sausage
752,other vegetables
753,dessert
754,decalcifier
755,canned beer
756,coffee
757,berries
758,pork
759,frankfurter
760,pork
761,frankfurter
762,frozen dessert
763,chicken
764,vinegar
765,rolls/buns
766,whole milk
767,pork
768,rolls/buns
769,grapes
770,frankfurter
771,finished products
772,onions
773,tropical fruit
774,other vegetables
775,ham
776,other vegetables
777,curd
778,sausage
779,canned beer
780,ham
781,packaged fruit/vegetables
782,meat
783,whole milk
784,canned beer
785,chicken
786,rolls/buns
787,pet care
788,root vegetables
789,pastry
790,frankfurter
791,chicken
792,frozen dessert
793,citrus fruit
794,sausage
795,root vegetables
796,root vegetables
797,bottled beer
798,frankfurter
799,root vegetables
800,berries
801,hamburger meat
802,tropical fruit
803,frankfurter
804,frankfurter
805,soda
806,ice cream
807,beef
808,whole milk
809,pork
810,whole milk
811,bottled beer
812,pork
813,root vegetables
814,canned beer
815,citrus fruit
816,pip fruit
817,root vegetables
818,tropical fruit
819,beef
820,chicken
821,citrus fruit
822,meat
823,cream cheese 
824,citrus fruit
825,specialty bar
826,meat
827,citrus fruit
828,frankfurter
829,citrus fruit
830,turkey
831,citrus fruit
832,sausage
833,newspapers
834,whole milk
835,yogurt
836,yogurt
837,bottled water
838,berries
839,packaged fruit/vegetables
840,frankfurter
841,nuts/prunes
842,citrus fruit
843,beef
844,whole milk
845,other vegetables
846,beef
847,fish
848,other vegetables
849,tropical fruit
850,coffee
851,sausage
852,meat
853,chicken
854,berries
855,frozen meals
856,whipped/sour cream
857,beef
858,chicken
859,chicken
860,beef
861,packaged fruit/vegetables
862,sugar
863,frankfurter
864,berries
865,bottled water
866,sausage
867,whole milk
868,ice cream
869,frankfurter
870,root vegetables
871,sausage
872,sausage
873,beef
874,fruit/vegetable juice
875,sugar
876,berries
877,yogurt
878,pork
879,bottled beer
880,curd
881,beef
882,pork
883,white bread
884,grapes
885,potato products
886,root vegetables
887,chicken
888,chicken
889,fish
890,canned beer
891,other vegetables
892,chicken
893,other vegetables
894,tropical fruit
895,whole milk
896,beef
897,sausage
898,whole milk
899,rolls/buns
900,citrus fruit
901,whole milk
902,pastry
903,tropical fruit
904,sliced cheese
905,soda
906,ham
907,salty snack
908,whole milk
909,root vegetables
910,soda
911,curd
912,bottled water
913,packaged fruit/vegetables
914,tropical fruit
915,ham
916,pork
917,beverages
918,sausage
919,sausage
920,root vegetables
921,whole milk
922,frankfurter
923,soda
924,soda
925,frankfurter
926,berries
927,canned beer
928,frankfurter
929,frankfurter
930,berries
931,frankfurter
932,newspapers
933,frozen fish
934,tropical fruit
935,beef
936,rolls/buns
937,specialty chocolate
938,sparkling wine
939,citrus fruit
940,onions
941,whole milk
942,photo/film
943,hamburger meat
944,other vegetables
945,whole milk
946,pork
947,tropical fruit
948,chicken
949,other vegetables
950,sausage
951,whole milk
952,rolls/buns
953,hygiene articles
954,ice cream
955,curd
956,whole milk
957,onions
958,finished products
959,salt
960,tropical fruit
961,other vegetables
962,chocolate
963,ice cream
964,tropical fruit
965,frankfurter
966,butter
967,other vegetables
968,tropical fruit
969,citrus fruit
970,UHT-milk
971,beef
972,curd
973,citrus fruit
974,yogurt
975,bottled beer
976,grapes
977,pork
978,sausage
979,frankfurter
980,artif. sweetener
981,frankfurter
982,pip fruit
983,frankfurter
984,whole milk
985,domestic eggs
986,packaged fruit/vegetables
987,chicken
988,pork
989,citrus fruit
990,light bulbs
991,cream cheese 
992,sausage
993,citrus fruit
994,other vegetables
995,chicken
996,ice cream
997,pork
998,pork
999,onions
1000,tropical fruit
1001,whipped/sour cream
1002,berries
1003,berries
1004,rolls/buns
1005,ice cream
1006,coffee
1007,whole milk
1008,whole milk
1009,citrus fruit
1010,beef
1011,pork
1012,turkey
1013,margarine
1014,butter milk
1015,beef
1016,bottled water
1017,pip fruit
1018,whole milk
1019,chocolate
1020,frankfurter
1021,whole milk
1022,sausage
1023,grapes
1024,brown bread
1025,root vegetables
1026,UHT-milk
1027,onions
1028,beef
1029,pork
1030,canned beer
1031,yogurt
1032,yogurt
1033,pip fruit
1034,meat
1035,coffee
1036,bottled water
1037,bottled beer
1038,sausage
1039,shopping bags
1040,pork
1041,frankfurter
1042,ice cream
1043,root vegetables
1044,sausage
1045,sausage
1046,root vegetables
1047,canned vegetables
1048,tropical fruit
1049,grapes
1050,whole milk
1051,frankfurter
1052,dessert
1053,shopping bags
1054,butter
1055,frankfurter
1056,pork
1057,whole milk
1058,brown bread
1059,frozen fish
1060,soda
1061,whole milk
1062,pork
1063,whipped/sour cream
1064,frankfurter
1065,grapes
1066,sausage
1067,citrus fruit
1068,ham
1069,chewing gum
1070,beef
1071,beef
1072,other vegetables
1073,frankfurter
1074,canned fish
1075,sausage
1076,bottled water
1077,specialty cheese
1078,bottled water
1079,bottled water
1080,chicken
1081,frankfurter
1082,chicken
1083,chicken
1084,butter
1085,citrus fruit
1086,whipped/sour cream
1087,frankfurter
1088,beef
1089,chicken
1090,sausage
1091,citrus fruit
1092,ice cream
1093,specialty chocolate
1094,frankfurter
1095,pork
1096,UHT-milk
1097,UHT-milk
1098,cookware
1099,citrus fruit
1100,sausage
1101,frankfurter
1102,citrus fruit
1103,ham
1104,ham
1105,bottled water
1106,popcorn
1107,tropical fruit
1108,frankfurter
1109,hamburger meat
1110,soda
1111,sausage
1112,yogurt
1113,meat
1114,red/blush wine
1115,UHT-milk
1116,brown bread
1117,semi-finished bread
1118,whole milk
1119,cat food
1120,citrus fruit
1121,citrus fruit
1122,meat
1123,rolls/buns
1124,root vegetables
1125,tropical fruit
1126,brown bread
1127,shopping bags
1128,grapes
1129,ham
1130,root vegetables
1131,ice cream
1132,tropical fruit
1133,finished products
1134,dessert
1135,sparkling wine
1136,other vegetables
1137,misc. beverages
1138,other vegetables
1139,misc. beverages
1140,dessert
1141,frankfurter
1142,sausage
1143,meat
1144,sausage
1145,onions
1146,beef
1147,pip fruit
1148,ham
1149,yogurt
1150,citrus fruit
1151,other vegetables
1152,pork
1153,bathroom cleaner
1154,ham
1155,grapes
1156,pastry
1157,citrus fruit
1158,photo/film
1159,dessert
1160,citrus fruit
1161,soda
1162,chewing gum
1163,root vegetables
1164,pork
1165,turkey
1166,tropical fruit
1167,sausage
1168,sausage
1169,pork
1170,sausage
1171,grapes
1172,grapes
1173,other vegetables
1174,pot plants
1175,bottled water
1176,prosecco
1177,UHT-milk
1178,bottled water
1179,rolls/buns
1180,specialty chocolate
1181,beef
1182,tropical fruit
1183,beef
1184,rolls/buns
1185,berries
1186,sausage
1187,chicken
1188,sausage
1189,shopping bags
1190,canned beer
1191,soda
1192,yogurt
1193,rolls/buns
1194,rolls/buns
1195,whole milk
1196,citrus fruit
1197,citrus fruit
1198,brown bread
1199,tropical fruit
1200,frankfurter
1201,coffee
1202,ham
1203,other vegetables
1204,sausage
1205,pork
1206,citrus fruit
1207,tropical fruit
1208,other vegetables
1209,pork
1210,chicken
1211,root vegetables
1212,citrus fruit
1213,fruit/vegetable juice
1214,beef
1215,frankfurter
1216,frankfurter
1217,beef
1218,ham
1219,shopping bags
1220,pork
1221,condensed milk
1222,chicken
1223,sausage
1224,bottled beer
1225,chicken
1226,finished products
1227,pork
1228,root vegetables
1229,domestic eggs
1230,domestic eggs
1231,bottled water
1232,cling film/bags
1233,other vegetables
1234,whole milk
1235,sausage
1236,sausage
1237,tropical fruit
1238,frankfurter
1239,frozen potato products
1240,frankfurter
1241,frankfurter
1242,chicken
1243,tropical fruit
1244,bottled beer
1245,citrus fruit
1246,hamburger meat
1247,chicken
1248,pork
1249,rolls/buns
1250,bottled water
1251,sausage
1252,frozen potato products
1253,frankfurter
1254,sausage
1255,tropical fruit
1256,bottled beer
1257,bottled beer
1258,rolls/buns
1259,citrus fruit
1260,yogurt
1261,turkey
1262,soda
1263,canned beer
1264,canned beer
1265,sausage
1266,pork
1267,Instant food products
1268,frankfurter
1269,oil
1270,chicken
1271,beef
1272,dessert
1273,pork
1274,curd
1275,chicken
1276,whipped/sour cream
1277,frankfurter
1278,frankfurter
1279,liver loaf
1280,pork
1281,frankfurter
1282,pork
1283,pork
1284,soda
1285,root vegetables
1286,whipped/sour cream
1287,chocolate
1288,whole milk
1289,pork
1290,coffee
1291,rolls/buns
1292,citrus fruit
1293,citrus fruit
1294,soda
1295,cream cheese 
1296,soda
1297,chicken
1298,frozen fish
1299,sausage
1300,beef
1301,ham
1302,chicken
1303,herbs
1304,grapes
1305,tropical fruit
1306,frankfurter
1307,onions
1308,sausage
1309,citrus fruit
1310,hamburger meat
1311,frankfurter
1312,sausage
1313,root vegetables
1314,oil
1315,canned beer
1316,newspapers
1317,pip fruit
1318,coffee
1319,red/blush wine
1320,onions
1321,frankfurter
1322,meat
1323,whole milk
1324,dessert
1325,hamburger meat
1326,chewing gum
1327,bottled water
1328,beverages
1329,whole milk
1330,citrus fruit
1331,tropical fruit
1332,cat food
1333,whole milk
1334,soda
1335,sausage
1336,root vegetables
1337,berries
1338,other vegetables
1339,sausage
1340,beverages
1341,chicken
1342,whole milk
1343,sausage
1344,ham
1345,whole milk
1346,root vegetables
1347,citrus fruit
1348,frankfurter
1349,ice cream
1350,sausage
1351,root vegetables
1352,ham
1353,coffee
1354,citrus fruit
1355,pot plants
1356,other vegetables
1357,whole milk
1358,zwieback
1359,chicken
1360,butter
1361,ham
1362,whole milk
1363,citrus fruit
1364,ham
1365,canned beer
1366,frankfurter
1367,chicken
1368,frankfurter
1369,bottled beer
1370,other vegetables
1371,frozen potato products
1372,chicken
1373,sausage
1374,canned beer
1375,yogurt
1376,frozen meals
1377,canned fruit
1378,butter
1379,yogurt
1380,citrus fruit
1381,meat
1382,root vegetables
1383,frankfurter
1384,tropical fruit
1385,yogurt
1386,root vegetables
1387,yogurt
1388,oil
1389,citrus fruit
1390,beef
1391,citrus fruit
1392,dessert
1393,curd
1394,bottled water
1395,sausage
1396,herbs
1397,dog food
1398,packaged fruit/vegetables
1399,frankfurter
1400,finished products
1401,oil
1402,curd
1403,herbs
1404,sausage
1405,whole milk
1406,sausage
1407,soda
1408,whole milk
1409,root vegetables
1410,sugar
1411,cream cheese 
1412,other vegetables
1413,frozen fruits
1414,whipped/sour cream
1415,yogurt
1416,pork
1417,grapes
1418,whole milk
1419,sausage
1420,canned beer
1421,meat
1422,soda
1423,bottled beer
1424,whole milk
1425,chicken
1426,pip fruit
1427,pork
1428,oil
1429,whole milk
1430,pip fruit
1431,root vegetables
1432,ham
1433,ice cream
1434,sausage
1435,detergent
1436,oil
1437,tropical fruit
1438,photo/film
1439,UHT-milk
1440,meat
1441,grapes
1442,liver loaf
1443,beef
1444,root vegetables
1445,pork
1446,butter milk
1447,brown bread
1448,herbs
1449,newspapers
1450,brandy
1451,pastry
1452,beverages
1453,UHT-milk
1454,cream cheese 
1455,rolls/buns
1456,rolls/buns
1457,rolls/buns
1458,sausage
1459,hard cheese
1460,canned beer
1461,canned beer
1462,citrus fruit
1463,yogurt
1464,yogurt
1465,salty snack
1466,tropical fruit
1467,citrus fruit
1468,rolls/buns
1469,whipped/sour cream
1470,citrus fruit
1471,butter milk
1472,other vegetables
1473,canned beer
1474,soda
1475,tropical fruit
1476,coffee
1477,ham
1478,whipped/sour cream
1479,citrus fruit
1480,dessert
1481,whole milk
1482,canned beer
1483,rolls/buns
1484,fish
1485,meat
1486,sausage
1487,other vegetables
1488,tropical fruit
1489,baby cosmetics
1490,citrus fruit
1491,tropical fruit
1492,spices
1493,sausage
1494,sausage
1495,beef
1496,canned beer
1497,canned beer
1498,rolls/buns
1499,whole milk
1500,root vegetables
1501,yogurt
1502,onions
1503,hamburger meat
1504,napkins
1505,other vegetables
1506,chicken
1507,meat
1508,rolls/buns
1509,butter
1510,sausage
1511,rolls/buns
1512,other vegetables
1513,frankfurter
1514,newspapers
1515,turkey
1516,onions
1517,whole milk
1518,yogurt
1519,whipped/sour cream
1520,frozen vegetables
1521,citrus fruit
1522,onions
1523,sausage
1524,other vegetables
1525,frankfurter
1526,domestic eggs
1527,rolls/buns
1528,bottled beer
1529,waffles
1530,condensed milk
1531,canned beer
1532,meat
1533,whole milk
1534,liver loaf
1535,frankfurter
1536,chicken
1537,frankfurter
1538,pip fruit
1539,root vegetables
1540,pip fruit
1541,pork
1542,other vegetables
1543,pastry
1544,sausage
1545,processed cheese
1546,napkins
1547,meat
1548,pastry
1549,sausage
1550,pip fruit
1551,frozen vegetables
1552,citrus fruit
1553,other vegetables
1554,frankfurter
1555,sausage
1556,beef
1557,hamburger meat
1558,yogurt
1559,beverages
1560,whole milk
1561,rolls/buns
1562,tropical fruit
1563,citrus fruit
1564,whole milk
1565,citrus fruit
1566,soda
1567,frankfurter
1568,sausage
1569,napkins
1570,yogurt
1571,herbs
1572,sausage
1573,yogurt
1574,pork
1575,curd
1576,frankfurter
1577,frankfurter
1578,curd
1579,liver loaf
1580,pork
1581,specialty bar
1582,ice cream
1583,specialty bar
1584,yogurt
1585,frozen vegetables
1586,rolls/buns
1587,pastry
1588,pork
1589,curd
1590,beef
1591,yogurt
1592,chicken
1593,detergent
1594,pip fruit
1595,coffee
1596,tropical fruit
1597,sauces
1598,pork
1599,yogurt
1600,napkins
1601,other vegetables
1602,chicken
1603,pork
1604,root vegetables
1605,ham
1606,whole milk
1607,soda
1608,rolls/buns
1609,tropical fruit
1610,tropical fruit
1611,sausage
1612,bottled beer
1613,turkey
1614,meat
1615,whole milk
1616,soda
1617,rolls/buns
1618,dessert
1619,sausage
1620,pork
1621,hamburger meat
1622,sausage
1623,rolls/buns
1624,misc. beverages
1625,pastry
1626,soda
1627,whole milk
1628,domestic eggs
1629,soda
1630,pip fruit
1631,yogurt
1632,frankfurter
1633,specialty chocolate
1634,sausage
1635,oil
1636,tropical fruit
1637,citrus fruit
1638,napkins
1639,whole milk
1640,coffee
1641,tropical fruit
1642,canned beer
1643,bottled beer
1644,canned beer
1645,rum
1646,rolls/buns
1647,pastry
1648,whole milk
1649,grapes
1650,whole milk
1651,yogurt
1652,root vegetables
1653,pastry
1654,canned beer
1655,sausage
1656,tropical fruit
1657,frankfurter
1658,rolls/buns
1659,frankfurter
1660,sausage
1661,whole milk
1662,whole milk
1663,whole milk
1664,ham
1665,whole milk
1666,beef
1667,domestic eggs
1668,soda
1669,whole milk
1670,ham
1671,curd
1672,bottled water
1673,butter milk
1674,pork
1675,pork
1676,turkey
1677,cream cheese 
1678,tropical fruit
1679,rolls/buns
1680,citrus fruit
1681,frankfurter
1682,whipped/sour cream
1683,tropical fruit
1684,frankfurter
1685,sausage
1686,sausage
1687,sausage
1688,sliced cheese
1689,candy
1690,tropical fruit
1691,pip fruit
1692,citrus fruit
1693,hamburger meat
1694,other vegetables
1695,nuts/prunes
1696,ham
1697,ham
1698,butter
1699,napkins
1700,beef
1701,frankfurter
1702,meat
1703,whole milk
1704,sausage
1705,sausage
1706,rolls/buns
1707,root vegetables
1708,sausage
1709,sausage
1710,meat
1711,sausage
1712,citrus fruit
1713,chocolate
1714,coffee
1715,sausage
1716,beef
1717,berries
1718,frozen meals
1719,beef
1720,sausage
1721,rolls/buns
1722,frankfurter
1723,sausage
1724,pip fruit
1725,grapes
1726,chocolate marshmallow
1727,coffee
1728,soda
1729,bottled beer
1730,butter
1731,fruit/vegetable juice
1732,meat
1733,pip fruit
1734,other vegetables
1735,frankfurter
1736,long life bakery product
1737,tropical fruit
1738,whole milk
1739,canned beer
1740,canned beer
1741,other vegetables
1742,soda
1743,rolls/buns
1744,bags
1745,rolls/buns
1746,dessert
1747,canned beer
1748,butter
1749,whole milk
1750,canned beer
1751,coffee
1752,chicken
1753,soda
1754,beef
1755,spread cheese
1756,citrus fruit
1757,canned beer
1758,rolls/buns
1759,pip fruit
1760,pip fruit
1761,whole milk
1762,chocolate
1763,sausage
1764,pip fruit
1765,other vegetables
1766,dessert
1767,frankfurter
1768,citrus fruit
1769,citrus fruit
1770,pip fruit
1771,tropical fruit
1772,frankfurter
1773,pip fruit
1774,canned beer
1775,pork
1776,rolls/buns
1777,canned beer
1778,citrus fruit
1779,grapes
1780,tropical fruit
1781,frozen fish
1782,tropical fruit
1783,beverages
1784,sausage
1785,whole milk
1786,sausage
1787,pork
1788,whole milk
1789,sausage
1790,pastry
1791,soda
1792,tropical fruit
1793,whole milk
1794,canned beer
1795,pip fruit
1796,turkey
1797,yogurt
1798,whipped/sour cream
1799,finished products
1800,sausage
1801,other vegetables
1802,newspapers
1803,white wine
1804,sausage
1805,misc. beverages
1806,yogurt
1807,beef
1808,other vegetables
1809,photo/film
1810,tropical fruit
1811,sausage
1812,frankfurter
1813,tropical fruit
1814,citrus fruit
1815,pork
1816,soda
1817,whole milk
1818,cookware
1819,butter
1820,frozen vegetables
1821,chicken
1822,frankfurter
1823,tropical fruit
1824,root vegetables
1825,meat
1826,hamburger meat
1827,tropical fruit
1828,whole milk
1829,whole milk
1830,hamburger meat
1831,frankfurter
1832,soda
1833,whipped/sour cream
1834,whole milk
1835,citrus fruit
1836,pip fruit
