index_id,product_id,ticket_id,paid_by,item,rating,food_rating,service_rating,price
32,2856455,393396,U1123,Sherry's Wild West Soup,2,2,2,14
33,2856455,5934388,U1051,Mexican Ham and Bean Soup,2,2,2,14
34,2856455,5934388,U1030,Cotija and Corn Tacos with Lime and Mango,2,2,2,14
35,2856455,5934388,U1051,Sherry's Wild West Soup,2,2,2,14
36,2856455,5934388,U1030,Mexican Bean Pizza,2,2,2,14
37,2856455,5934388,U1051,How To Make Panzanella (Italian Bread Salad),2,2,2,14
38,2856455,5934388,U1020,Lemongrass Beef and Onions over Rice Vermicelli (Bun Bo),2,2,2,14
39,2856455,5934388,U1030,Mexican Bean Pizza,2,2,2,14
40,2856455,5934388,U1051,Mexican Beef and Cheese Wontons with Salsa,2,2,2,14
41,2856455,5934388,U1020,Pesto Tofu Pasta,2,2,2,14
42,2856455,5934388,U1020,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,14
43,2856455,5339606,U1068,Mexican-style Lasagna,0,0,0,6
44,2856455,5339606,U1067,Mexican Bean Pizza,0,0,0,6
45,2856455,5339606,U1067,Mexican Style Jalapeno Burger,0,0,0,6
46,2856455,5339606,U1028,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,6
47,2856455,5339606,U1068,Cotija and Corn Tacos with Lime and Mango,1,1,1,6
48,2856455,5339606,U1087,Mexican Style Jalapeno Burger,1,1,1,6
49,2856455,5339606,U1068,Cotija and Corn Tacos with Lime and Mango,1,1,1,6
50,2856455,5339606,U1068,Lobster and Crab Enchiladas,1,1,1,6
51,2856455,5339606,U1103,Mexican Beef and Cheese Wontons with Salsa,0,0,0,4
52,2856455,5339606,U1103,Cotija and Corn Tacos with Lime and Mango,0,0,0,4
53,2856455,5339606,U1087,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,5
54,2856455,1105355,U1055,Wok-Fried Long Life Noodles with New Year Vegetables,2,2,2,6
55,2856455,1105355,U1007,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,6
56,2856455,1105355,U1071,Wok-Fried Long Life Noodles with New Year Vegetables,2,2,2,6
57,2856455,1105355,U1054,Cotija and Corn Tacos with Lime and Mango,2,2,2,6
58,2856455,1105355,U1054,Pesto Tofu Pasta,2,2,2,6
59,2856455,1105355,U1007,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,11
60,2856455,1105355,U1007,"Phat Si Ew (Stir-Fried Rice Noodles with Pork, Chinese Broccoli, and Soy Sauce)",2,2,2,11
61,2856455,1185964,U1040,Mexican Style Jalapeno Burger,1,1,1,4
62,2856455,1185964,U1066,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,4
63,2856455,1185964,U1093,Yaki Udon With Beef,1,1,1,4
64,2856455,1185964,U1040,Miso Soup,1,1,1,4
65,2856455,1185964,U1040,Negimaki,1,1,1,4
66,2856455,1185964,U1093,Udon Noodles with Bay Scallops and Baby Bok Choy,1,1,1,4
67,2856455,1185964,U1040,Japanese Beef and Vegetable Hot Pot (Sukiyaki),1,1,1,4
68,2856455,1185964,U1040,Udon Noodles with Bay Scallops and Baby Bok Choy,1,1,1,4
69,2856455,1185964,U1040,Lobster and Crab Enchiladas,1,1,1,4
70,2856455,1185964,U1110,Udon-Beef Noodle Bowl,1,1,1,4
71,2856455,1185964,U1040,Miso-Glazed Sea Bass,2,2,1,6
72,2856455,1185964,U1040,Mexican-style Lasagna,2,2,1,6
73,2856455,1185964,U1110,Sushi Deviled Eggs | Elegant Appetizers,2,2,1,6
74,2856455,1185964,U1066,Lemongrass Beef and Onions over Rice Vermicelli (Bun Bo),2,2,1,6
75,2856455,9836596,U1031,Sherry's Wild West Soup,0,0,0,2
76,2856455,9836596,U1082,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,3
77,2856455,9836596,U1103,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,3
78,2856455,9836596,U1028,Cotija and Corn Tacos with Lime and Mango,0,0,0,3
79,2856455,2151230,U1107,Mexican Ham and Bean Soup,1,2,2,3
80,2856455,2151230,U1103,Sherry's Wild West Soup,1,2,2,3
81,2856455,2151230,U1067,Cotija and Corn Tacos with Lime and Mango,1,2,1,2
82,2856455,2151230,U1063,Lobster and Crab Enchiladas,1,1,1,6
83,2856455,2151230,U1107,Mexican-style Lasagna,1,1,1,6
84,2856455,2151230,U1067,Cilantro-Lime Rice,1,1,1,3
85,2856455,2151230,U1067,Mexican-style Lasagna,1,1,1,3
86,2856455,2151230,U1103,Mexican Beef and Cheese Wontons with Salsa,1,1,1,3
87,2856455,2151230,U1067,Cilantro-Lime Rice,1,1,1,3
88,2856455,2151230,U1107,Layered Chicken and Black Bean Enchilada Casserole,1,0,2,2
89,2856455,2151230,U1123,Mexican-style Lasagna,1,0,2,2
90,2856455,2151230,U1063,Mexican Beef and Cheese Wontons with Salsa,1,0,2,2
91,2856455,2151230,U1107,Layered Chicken and Black Bean Enchilada Casserole,1,0,2,2
92,2856455,2151230,U1067,Mexican Ham and Bean Soup,2,2,2,12
93,2856455,6640937,U1031,Pizza Dough,0,0,0,3
94,2856455,6640937,U1065,Mexican Beef and Cheese Wontons with Salsa,0,0,0,3
95,2856455,6640937,U1031,Sherry's Wild West Soup,0,0,0,3
96,2856455,6640937,U1065,Cotija and Corn Tacos with Lime and Mango,0,0,0,3
97,2856455,6640937,U1065,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,3
98,2856455,6640937,U1026,Baked Italian Chicken Breasts,0,0,0,3
99,2856455,6640937,U1065,Cilantro-Lime Rice,0,0,0,3
100,2856455,6640937,U1065,Lobster and Crab Enchiladas,0,0,0,2
101,2856455,4854261,U1050,Lobster and Crab Enchiladas,0,0,0,2
102,2856455,4854261,U1082,Lobster and Crab Enchiladas,0,0,0,2
103,2856455,4854261,U1050,Sherry's Wild West Soup,0,0,0,2
104,2856455,4854261,U1123,Mexican-style Lasagna,0,0,0,2
105,2856455,4854261,U1082,Mexican Ham and Bean Soup,0,0,0,2
106,2856455,4854261,U1082,Lobster and Crab Enchiladas,0,0,0,6
107,2856455,4854261,U1123,Cilantro-Lime Rice,0,0,0,6
108,2856455,4854261,U1123,Mexican Ham and Bean Soup,0,0,0,6
109,2856455,4854261,U1050,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,6
110,2856455,4854261,U1050,Mexican-style Lasagna,0,0,0,6
111,2856455,4854261,U1082,Layered Chicken and Black Bean Enchilada Casserole,0,0,0,6
112,2856455,4854261,U1050,Mexican Beef and Cheese Wontons with Salsa,0,0,0,6
113,2856455,8579109,U1065,Mexican Style Jalapeno Burger,2,2,2,5
114,2856455,8579109,U1129,Cilantro-Lime Rice,2,2,2,5
115,2856455,8579109,U1065,Mexican Style Jalapeno Burger,2,2,2,5
116,2856455,8579109,U1129,How To Make Panzanella (Italian Bread Salad),2,2,2,5
117,2856455,8579109,U1129,Pasta Calamari Capri,2,2,2,5
118,2856455,8579109,U1026,"Prosciutto, Nectarine and Fontina Panini on Rosemary Focaccia",2,2,2,5
119,2856455,8579109,U1065,Mexican Bean Pizza,2,2,2,5
120,2856455,8579109,U1065,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,5
121,2856455,8579109,U1065,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,5
122,2856455,8579109,U1065,Mexican Bean Pizza,2,2,2,5
123,2856455,8579109,U1026,Pasta Calamari Capri,2,2,2,5
124,2856455,6158654,U1033,Cotija and Corn Tacos with Lime and Mango,1,1,1,2
125,2856455,6158654,U1027,Wok-Fried Long Life Noodles with New Year Vegetables,1,1,1,2
126,2856455,6158654,U1089,Udon Noodles with Bay Scallops and Baby Bok Choy,1,1,1,14
127,2856455,6158654,U1033,Bramblewood Blackberry Pie,1,1,1,14
128,2856455,6158654,U1089,Wok-Fried Long Life Noodles with New Year Vegetables,1,1,1,14
129,2856455,6158654,U1027,Dave's BBQ Sauce,1,1,1,14
130,2856455,6158654,U1033,Sweet and Spicy Chinese Takeout Chicken,1,1,1,14
131,2856455,6158654,U1027,The Munroe Melt,1,1,1,14
132,2856455,6158654,U1089,Miso-Glazed Sea Bass,1,1,1,12
133,2856455,6158654,U1089,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,1,1,1,12
134,2856455,974595,U1098,Miso Soup,1,2,1,5
135,2856455,974595,U1013,Cotija and Corn Tacos with Lime and Mango,1,2,1,5
136,2856455,974595,U1032,The Best Chinese Sesame Chicken,1,2,2,3
137,2856455,974595,U1019,Cotija and Corn Tacos with Lime and Mango,0,0,0,11
138,2856455,974595,U1089,Lobster and Crab Enchiladas,0,0,0,11
139,2856455,974595,U1106,Miso Soup,0,0,0,11
140,2856455,200860,U1095,Grilled Salmon and Spinach Salad with Peach Dressing,1,1,1,8
141,2856455,200860,U1083,Mexican Beef and Cheese Wontons with Salsa,1,1,1,8
142,2856455,200860,U1083,Pesto Tofu Pasta,1,1,1,8
143,2856455,3138041,U1116,Lobster and Crab Enchiladas,2,2,2,3
144,2856455,3138041,U1001,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,2,2,2,3
145,2856455,3138041,U1098,Cotija and Corn Tacos with Lime and Mango,2,2,2,6
146,2856455,3138041,U1009,Sesame Beef and Asian Vegetable Stir-Fry,2,2,2,11
147,2856455,3138041,U1104,Fried Rice,2,2,2,7
148,2856455,3138041,U1081,Pasta Calamari Capri,2,2,2,7
149,2856455,3138041,U1036,Chinese Chicken Salad,2,2,1,7
150,2856455,3138041,U1049,Pasta Calamari Capri,2,2,1,7
151,2856455,3138041,U1009,Cotija and Corn Tacos with Lime and Mango,2,2,1,7
152,2856455,3138041,U1009,Fried Rice,0,1,1,8
153,2856455,3138041,U1071,Pasta Calamari Capri,2,2,1,11
154,2856455,3138041,U1098,"Prosciutto, Tomato, and Olive Spaghetti",2,2,1,11
155,2856455,3138041,U1001,Baked Italian Chicken Breasts,2,2,2,13
156,2856455,3138041,U1135,Lobster and Crab Enchiladas,2,2,2,10
157,2856455,2530920,U1138,Grilled Salmon and Spinach Salad with Peach Dressing,2,2,2,9
158,2856455,2530920,U1027,Lobster and Crab Enchiladas,2,2,2,9
159,2856455,2530920,U1090,Cotija and Corn Tacos with Lime and Mango,2,2,2,9
160,2856455,2530920,U1138,Grilled Teriyaki-Glazed Salmon,2,2,2,9
161,2856455,2530920,U1027,Layered Chicken and Black Bean Enchilada Casserole,2,2,2,9
162,2856455,2530920,U1027,Yaki Udon With Beef,1,2,1,10
163,2856455,2530920,U1027,Cilantro-Lime Rice,1,2,1,10
164,2856455,2530920,U1090,Negimaki,1,2,1,10
165,2856455,2530920,U1090,Mexican-style Lasagna,1,2,1,10
166,2856455,2530920,U1138,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,1,2,1,10
167,2856455,2530920,U1027,Miso-Glazed Sea Bass,1,2,1,10
168,2856455,6806575,U1081,How To Make Panzanella (Italian Bread Salad),2,2,2,6
169,2856455,6806575,U1024,Mexican Ham and Bean Soup,1,1,1,5
170,2856455,6806575,U1081,Roasted-Garlic Mashed Potatoes,1,1,1,5
171,2856455,6806575,U1132,Mexican Beef and Cheese Wontons with Salsa,2,2,2,7
172,2856455,6806575,U1108,Roasted-Garlic Mashed Potatoes,2,2,2,7
173,2856455,6806575,U1108,Wok-Fried Long Life Noodles with New Year Vegetables,2,2,2,8
174,2856455,6806575,U1108,Dave's BBQ Sauce,0,1,1,8
175,2856455,6806575,U1024,Cilantro-Lime Rice,2,2,2,13
176,2856455,6806575,U1108,Grilled Salmon and Spinach Salad with Peach Dressing,2,2,2,13
177,2856455,6806575,U1004,Baked Italian Chicken Breasts,2,2,2,13
178,2856455,6806575,U1055,Baked Italian Chicken Breasts,1,1,1,12
179,2856455,6806575,U1108,Lemon Focaccia,1,1,1,12
180,2856455,6806575,U1108,Cotija and Corn Tacos with Lime and Mango,1,1,1,12
181,1210442,6806575,U1024,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,2,2,2,6
182,1210442,6806575,U1004,Dave's BBQ Sauce,1,1,1,4
183,2856455,390442,U1099,Cotija and Corn Tacos with Lime and Mango,2,2,2,3
184,2856455,390442,U1038,Mexican Bean Pizza,2,2,2,3
185,2856455,390442,U1054,Roasted Vegetables,2,2,2,3
186,2856455,390442,U1106,Grilled Salmon and Spinach Salad with Peach Dressing,1,1,1,5
187,2856455,390442,U1054,Dave's BBQ Sauce,1,1,1,5
188,2856455,390442,U1038,Mexican Ham and Bean Soup,1,1,1,5
189,2856455,390442,U1101,Cotija and Corn Tacos with Lime and Mango,0,0,0,11
190,2856455,390442,U1101,Sesame Beef and Asian Vegetable Stir-Fry,2,2,2,13
191,2856455,390442,U1101,Sesame Beef and Asian Vegetable Stir-Fry,2,2,2,13
192,2856455,7048666,U1051,How To Make Panzanella (Italian Bread Salad),2,2,2,14
193,2856455,5011680,U1074,Yaki Udon With Beef,2,2,1,6
194,2856455,5011680,U1074,Mexican-style Lasagna,2,2,1,6
195,2856455,5011680,U1093,Udon Noodles with Bay Scallops and Baby Bok Choy,2,2,1,6
196,2856455,5011680,U1100,Cilantro-Lime Rice,2,2,1,6
197,2856455,6645779,U1055,Wok-Fried Long Life Noodles with New Year Vegetables,2,2,2,6
198,2856455,6645779,U1089,The Munroe Melt,2,2,2,6
199,2856455,6645779,U1134,Layered Chicken and Black Bean Enchilada Casserole,2,2,2,6
200,2856455,6645779,U1114,Japanese Beef and Vegetable Hot Pot (Sukiyaki),1,2,2,3
201,2856455,6645779,U1055,The Best Chinese Sesame Chicken,2,2,2,7
202,2856455,6645779,U1053,Mexican Ham and Bean Soup,2,2,2,13
203,1210442,6645779,U1089,The Best Chinese Sesame Chicken,2,2,2,6
204,1210442,6645779,U1089,Curried Chicken Salad,2,2,2,6
205,1210442,6645779,U1122,Chinese Chicken Salad,2,2,2,6
206,1210442,6645779,U1029,Japanese Beef and Vegetable Hot Pot (Sukiyaki),1,2,2,5
207,1210442,6645779,U1029,Sweet and Spicy Chinese Takeout Chicken,2,2,2,9
208,1210442,6645779,U1036,The Munroe Melt,2,2,2,11
209,2856455,3276802,U1083,The Munroe Melt,1,1,1,8
210,2856455,3276802,U1083,"Prosciutto, Tomato, and Olive Spaghetti",1,1,1,8
211,2856455,3276802,U1083,Mexican-style Lasagna,1,1,1,8
212,2856455,3276802,U1083,Lemon Asparagus,1,1,1,8
213,2856455,5680356,U1046,Bramblewood Blackberry Pie,1,2,1,5
214,2856455,5680356,U1046,Pot Stickers,1,2,1,5
215,2856455,3538825,U1027,Sushi Deviled Eggs | Elegant Appetizers,1,1,1,2
216,2856455,8859927,U1071,Mexican Bean Pizza,2,2,2,6
217,2856455,8859927,U1022,Mexican Style Jalapeno Burger,2,2,2,6
218,2856455,8859927,U1116,Chinese Chicken Salad,2,2,2,11
219,2856455,8859927,U1071,Mexican Ham and Bean Soup,2,2,2,11
220,2856455,8859927,U1132,Mexican Style Jalapeno Burger,2,2,2,11
221,2856455,8859927,U1092,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,2,2,2,7
222,2856455,8859927,U1055,Mexican Ham and Bean Soup,2,2,2,7
223,2856455,8859927,U1132,Easy Chinese Soy Sauce Chicken,2,2,2,7
224,2856455,8859927,U1053,Mexican Beef and Cheese Wontons with Salsa,2,2,2,8
225,2856455,466816,U1013,Pot Stickers,0,1,1,5
226,2856455,466816,U1091,Japanese Beef and Vegetable Hot Pot (Sukiyaki),0,1,1,5
227,2856455,466816,U1089,Sesame Beef and Asian Vegetable Stir-Fry,0,1,1,5
228,2856455,466816,U1089,Pesto Tofu Pasta,0,1,1,5
229,2856455,466816,U1027,Dave's BBQ Sauce,1,1,1,2
230,2856455,466816,U1047,Fried Rice,1,1,1,2
231,2856455,466816,U1091,"Prosciutto, Tomato, and Olive Spaghetti",1,1,1,2
232,2856455,466816,U1027,Curried Chicken Salad,1,1,1,2
233,2856455,466816,U1091,Grilled Salmon and Spinach Salad with Peach Dressing,1,1,1,14
234,2856455,466816,U1027,Wok-Fried Long Life Noodles with New Year Vegetables,1,1,1,14
235,2856455,466816,U1089,Cilantro-Lime Rice,1,1,1,14
236,2856455,4330377,U1082,Mexican Style Jalapeno Burger,0,0,0,2
237,2856455,4330377,U1123,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,4
238,2856455,7292967,U1051,Pesto Tofu Pasta,2,2,2,14
239,2856455,7292967,U1051,Lemongrass Beef and Onions over Rice Vermicelli (Bun Bo),2,2,2,14
240,2856455,7292967,U1020,Mexican-style Lasagna,2,2,2,14
241,2856455,7292967,U1020,Mexican Ham and Bean Soup,2,2,2,14
242,2856455,7292967,U1051,Sherry's Wild West Soup,2,2,2,14
243,2856455,7292967,U1051,Pesto Tofu Pasta,2,2,2,14
244,2856455,7292967,U1051,Pesto Tofu Pasta,2,2,2,14
245,2856455,7292967,U1030,Mexican Style Jalapeno Burger,2,2,2,14
246,2856455,7292967,U1030,Pesto Tofu Pasta,2,2,2,14
247,2856455,7292967,U1030,Pasta Calamari Capri,2,2,2,14
248,1210442,7292967,U1020,Mexican Bean Pizza,2,2,2,11
249,2856455,5066132,U1009,MAMA’S BRAISED CHICKEN LEGS ON RICE W/ FRIED CHILI CAPERS,1,2,1,5
250,2856455,5066132,U1036,Fried Rice,1,2,1,5
251,2856455,5066132,U1112,Fried Rice,1,2,1,5
252,2856455,5066132,U1009,Roasted Vegetables,0,0,0,12
253,2856455,5066132,U1134,Fried Rice,0,0,0,12
254,2856455,5066132,U1106,The Best Chinese Sesame Chicken,2,2,1,11
255,2856455,5066132,U1134,"Phat Si Ew (Stir-Fried Rice Noodles with Pork, Chinese Broccoli, and Soy Sauce)",2,1,1,10
256,2856455,5066132,U1003,Sushi Deviled Eggs | Elegant Appetizers,2,1,1,10
257,2856455,5066132,U1013,Cilantro-Lime Rice,2,1,1,10
258,2856455,5066132,U1112,Sesame Beef and Asian Vegetable Stir-Fry,2,1,0,13
259,2856455,5066132,U1032,Bramblewood Blackberry Pie,2,2,2,32
260,2856455,5066132,U1112,Japanese Beef and Vegetable Hot Pot (Sukiyaki),2,2,2,32
261,1210442,5066132,U1128,Mexican-style Lasagna,1,2,1,2
262,1210442,5066132,U1106,Fried Rice,1,2,1,2
263,1210442,5066132,U1134,Chinese Chicken Salad,1,2,1,2
264,2856455,7189078,U1137,Chinese Chicken Salad,2,2,1,6
265,2856455,7189078,U1046,"Phat Si Ew (Stir-Fried Rice Noodles with Pork, Chinese Broccoli, and Soy Sauce)",2,2,1,6
266,2856455,7189078,U1086,Roasted-Garlic Mashed Potatoes,1,1,1,2
267,2856455,7189078,U1027,Negimaki,1,1,1,14
268,2856455,7189078,U1114,Cotija and Corn Tacos with Lime and Mango,1,1,1,14
269,2856455,7189078,U1027,Cowboy Nachos,2,2,2,11
270,2856455,7189078,U1086,Mexican Bean Pizza,2,2,2,11
271,2856455,7189078,U1086,Mexican Ham and Bean Soup,2,2,2,11
272,2856455,7189078,U1114,Cilantro-Lime Rice,2,2,2,13
273,2856455,7189078,U1033,Mexican Bean Pizza,2,2,2,13
274,2856455,7189078,U1033,Yaki Udon With Beef,1,1,1,12
275,2856455,7189078,U1086,Mexican Ham and Bean Soup,1,1,1,12
276,2856455,692187,U1082,Mexican Beef and Cheese Wontons with Salsa,0,0,2,6
277,2856455,692187,U1070,Sherry's Wild West Soup,0,0,2,6
278,2856455,692187,U1103,Lobster and Crab Enchiladas,0,0,2,6
279,2856455,692187,U1070,Sherry's Wild West Soup,0,0,2,6
280,2856455,692187,U1103,Mexican Beef and Cheese Wontons with Salsa,2,2,1,3
281,2856455,692187,U1103,Mexican Bean Pizza,2,2,1,3
282,2856455,692187,U1082,Mexican Style Jalapeno Burger,1,2,0,6
283,2856455,692187,U1070,Mexican Bean Pizza,1,2,0,6
284,2856455,692187,U1082,Mexican Style Jalapeno Burger,1,2,0,6
285,2856455,692187,U1103,Mexican Bean Pizza,1,2,0,6
286,2856455,692187,U1070,Mexican-style Lasagna,0,0,0,5
287,2856455,4442394,U1116,Mexican-style Lasagna,1,0,1,2
288,2856455,4442394,U1116,Easy Chinese Soy Sauce Chicken,1,0,1,2
289,2856455,4442394,U1116,The Best Chinese Sesame Chicken,1,0,1,2
290,2856455,4442394,U1081,Mexican Style Jalapeno Burger,1,0,1,2
291,2856455,4442394,U1116,Mexican Style Jalapeno Burger,1,0,1,2
292,2856455,6866458,U1065,Spicy Italian White Bean and Sausage Soup,0,0,0,3
293,2856455,6866458,U1065,Mexican Style Jalapeno Burger,0,0,0,3
294,2856455,6866458,U1065,Cilantro-Lime Rice,0,0,0,3
295,2856455,6866458,U1026,Cotija and Corn Tacos with Lime and Mango,0,0,0,3
296,2856455,6866458,U1065,Mexican Bean Pizza,0,0,0,3
297,2856455,6866458,U1065,Pasta Calamari Capri,0,0,0,3
298,2856455,6866458,U1065,Mexican Style Jalapeno Burger,0,0,0,3
299,2856455,6866458,U1031,Cilantro-Lime Rice,0,0,0,3
300,2856455,6866458,U1031,Mexican-style Lasagna,0,0,0,2
301,2856455,6866458,U1065,Mexican Ham and Bean Soup,0,0,0,2
302,2856455,6866458,U1026,Pesto Tofu Pasta,0,0,0,2
303,2856455,6866458,U1031,Sherry's Wild West Soup,0,0,0,2
304,2856455,6866458,U1031,How To Make Panzanella (Italian Bread Salad),0,0,0,4
305,2856455,6866458,U1031,Mexican-style Lasagna,0,0,0,4
306,2856455,6866458,U1031,Sherry's Wild West Soup,0,0,0,4
307,2856455,5889879,U1048,Layered Chicken and Black Bean Enchilada Casserole,1,2,1,2
308,2856455,5889879,U1048,Lemon Focaccia,1,2,1,2
309,2856455,5889879,U1061,Lemon Focaccia,1,2,1,2
310,2856455,5889879,U1048,Japanese Beef and Vegetable Hot Pot (Sukiyaki),1,2,1,2
311,2856455,5889879,U1083,Lemon Asparagus,1,2,1,2
312,2856455,5889879,U1083,Spicy Italian White Bean and Sausage Soup,1,2,1,6
313,2856455,5692422,U1068,Mexican Style Jalapeno Burger,2,2,2,2
314,2856455,5692422,U1050,Lobster and Crab Enchiladas,2,2,2,2
315,2856455,5692422,U1068,Mexican Bean Pizza,2,2,2,2
316,2856455,5692422,U1060,Cotija and Corn Tacos with Lime and Mango,1,2,1,2
317,2856455,5692422,U1050,Sherry's Wild West Soup,1,2,1,2
318,2856455,5692422,U1060,Mexican Beef and Cheese Wontons with Salsa,1,2,1,2
319,2856455,5692422,U1060,Mexican Style Jalapeno Burger,1,1,1,6
320,2856455,5692422,U1050,Layered Chicken and Black Bean Enchilada Casserole,1,1,1,6
321,2856455,5692422,U1123,Mexican-style Lasagna,0,0,0,4
322,2856455,5692422,U1123,Lobster and Crab Enchiladas,0,0,0,4
323,2856455,5692422,U1068,Cilantro-Lime Rice,0,0,0,4
324,2856455,5692422,U1123,Mexican Beef and Cheese Wontons with Salsa,0,0,0,4
325,2856455,5692422,U1060,Mexican Bean Pizza,0,0,0,4
326,2856455,5692422,U1050,Mexican Bean Pizza,0,0,0,4
327,2856455,4426879,U1065,"Prosciutto, Tomato, and Olive Spaghetti",2,2,2,5
328,2856455,4426879,U1065,"Prosciutto, Nectarine and Fontina Panini on Rosemary Focaccia",2,2,2,5
329,2856455,4426879,U1065,Mexican-style Lasagna,2,2,2,5
330,2856455,4426879,U1129,Mexican Bean Pizza,2,2,2,5
331,2856455,4426879,U1065,Mexican Ham and Bean Soup,2,2,2,5
332,2856455,4426879,U1065,Pasta Calamari Capri,2,2,2,5
333,2856455,4426879,U1065,Layered Chicken and Black Bean Enchilada Casserole,2,2,2,5
334,2856455,4426879,U1026,How To Make Panzanella (Italian Bread Salad),2,2,2,5
335,2856455,4426879,U1129,Spicy Italian White Bean and Sausage Soup,2,2,2,5
336,2856455,5708958,U1013,"Prosciutto, Tomato, and Olive Spaghetti",0,1,1,5
337,2856455,5708958,U1091,Bramblewood Blackberry Pie,1,1,1,2
338,2856455,5708958,U1089,The Best Chinese Sesame Chicken,1,1,1,14
339,2856455,5708958,U1047,Grilled Teriyaki-Glazed Salmon,1,1,1,14
340,2856455,5708958,U1013,Bramblewood Blackberry Pie,1,1,1,14
341,2856455,5708958,U1091,Sweet and Spicy Chinese Takeout Chicken,1,1,1,14
342,2856455,5708958,U1091,"Phat Si Ew (Stir-Fried Rice Noodles with Pork, Chinese Broccoli, and Soy Sauce)",1,1,1,12
343,2856455,5708958,U1128,Chinese Chicken Salad,1,1,1,11
344,2856455,5708958,U1128,Baked Italian Chicken Breasts,1,1,1,11
345,1210442,5708958,U1013,Yaki Udon With Beef,0,1,1,4
346,1210442,5708958,U1089,Spicy Italian White Bean and Sausage Soup,1,1,1,5
347,1210442,5708958,U1047,Udon Noodles with Bay Scallops and Baby Bok Choy,1,1,1,13
348,1210442,5708958,U1047,Fettuccine Carbonara,1,1,1,13
349,2856455,748452,U1095,Curried Chicken Salad,1,2,1,2
350,2856455,748452,U1083,Spicy Italian White Bean and Sausage Soup,1,2,1,2
351,2856455,748452,U1061,The Munroe Melt,1,2,1,6
352,2856455,748452,U1061,Mexican Beef and Cheese Wontons with Salsa,1,2,1,6
353,2856455,748452,U1095,Cowboy Nachos,2,2,2,9
